Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
lp001279,male,no,0,graduate,no,2366,2531,136,360,1,semiurban,y
lp001280,male,yes,2,not graduate,no,3333,2000,99,360,1,semiurban,y
lp001282,male,yes,0,graduate,no,2500,2118,104,360,1,semiurban,y
lp001289,male,no,0,graduate,no,8566,0,210,360,1,urban,y
lp001310,male,yes,0,graduate,no,5695,4167,175,360,1,semiurban,y
lp001316,male,yes,0,graduate,no,2958,2900,131,360,1,semiurban,y
lp001318,male,yes,2,graduate,no,6250,5654,188,180,1,semiurban,y
lp001319,male,yes,2,not graduate,no,3273,1820,81,360,1,urban,y
lp001322,male,no,0,graduate,no,4133,0,122,360,1,semiurban,y
lp001325,male,no,0,not graduate,no,3620,0,25,120,1,semiurban,y
lp001326,male,no,0,graduate,no,6782,0,1,360,1,urban,n
lp001327,female,yes,0,graduate,no,2484,2302,137,360,1,semiurban,y
lp001333,male,yes,0,graduate,no,1977,997,50,360,1,semiurban,y
lp001334,male,yes,0,not graduate,no,4188,0,115,180,1,semiurban,y
lp001343,male,yes,0,graduate,no,1759,3541,131,360,1,semiurban,y
lp001345,male,yes,2,not graduate,no,4288,3263,133,180,1,urban,y
lp001349,male,no,0,graduate,no,4843,3806,151,360,1,semiurban,y
lp001350,male,yes,0,graduate,no,13650,0,1,360,1,urban,y
lp001356,male,yes,0,graduate,no,4652,3583,1,360,1,semiurban,y
lp001357,male,yes,0,graduate,no,3816,754,160,360,1,urban,y
lp001367,male,yes,1,graduate,no,3052,1030,100,360,1,urban,y
lp001369,male,yes,2,graduate,no,11417,1126,225,360,1,urban,y
lp001370,male,no,0,not graduate,no,7333,0,120,360,1,rural,n
lp001379,male,yes,2,graduate,no,3800,3600,216,360,0,urban,n
lp001384,male,yes,3,not graduate,no,2071,754,94,480,1,semiurban,y
lp001385,male,no,0,graduate,no,5316,0,136,360,1,urban,y
lp001387,female,yes,0,graduate,no,2929,2333,139,360,1,semiurban,y
lp001391,male,yes,0,not graduate,no,3572,4114,152,342,0,rural,n
lp001392,female,no,1,graduate,yes,7451,0,1,360,1,semiurban,y
lp001398,male,no,0,graduate,no,5050,0,118,360,1,semiurban,y
lp001401,male,yes,1,graduate,no,14583,0,185,180,1,rural,y
lp001404,female,yes,0,graduate,no,3167,2283,154,360,1,semiurban,y
lp001405,male,yes,1,graduate,no,2214,1398,85,360,1,urban,y
lp001421,male,yes,0,graduate,no,5568,2142,175,360,1,rural,n
lp001422,female,no,0,graduate,no,10408,0,259,360,1,urban,y
lp001426,male,yes,0,graduate,no,5667,2667,180,360,1,rural,y
lp001430,female,no,0,graduate,no,4166,0,44,360,1,semiurban,y
lp001431,female,no,0,graduate,no,2137,8980,137,360,0,semiurban,y
lp001432,male,yes,2,graduate,no,2957,0,81,360,1,semiurban,y
lp001439,male,yes,0,not graduate,no,4300,2014,194,360,1,rural,y
lp001443,female,no,0,graduate,no,3692,0,93,360,1,rural,y
lp001448,male,yes,3,graduate,no,23803,0,370,360,1,rural,y
lp001449,male,no,0,graduate,no,3865,1640,1,360,1,rural,y
lp001451,male,yes,1,graduate,yes,10513,3850,160,180,0,urban,n
lp001465,male,yes,0,graduate,no,6080,2569,182,360,1,rural,n
lp001469,male,no,0,graduate,yes,20166,0,650,480,1,urban,y
lp001473,male,no,0,graduate,no,2014,1929,74,360,1,urban,y
lp001478,male,no,0,graduate,no,2718,0,70,360,1,semiurban,y
lp001482,male,yes,0,graduate,yes,3459,0,25,120,1,semiurban,y
lp001487,male,no,0,graduate,no,4895,0,102,360,1,semiurban,y
lp001488,male,yes,3,graduate,no,4000,7750,290,360,1,semiurban,n
lp001489,female,yes,0,graduate,no,4583,0,84,360,1,rural,n
lp001491,male,yes,2,graduate,yes,3316,3500,88,360,1,urban,y
lp001492,male,no,0,graduate,no,14999,0,242,360,0,semiurban,n
lp001493,male,yes,2,not graduate,no,4200,1430,129,360,1,rural,n
lp001497,male,yes,2,graduate,no,5042,2083,185,360,1,rural,n
lp001498,male,no,0,graduate,no,5417,0,168,360,1,urban,y
lp001504,male,no,0,graduate,yes,6950,0,175,180,1,semiurban,y
lp001507,male,yes,0,graduate,no,2698,2034,122,360,1,semiurban,y
lp001508,male,yes,2,graduate,no,11757,0,187,180,1,urban,y
lp001514,female,yes,0,graduate,no,2330,4486,100,360,1,semiurban,y
lp001516,female,yes,2,graduate,no,14866,0,70,360,1,urban,y
lp001518,male,yes,1,graduate,no,1538,1425,30,360,1,urban,y
lp001519,female,no,0,graduate,no,10000,1666,225,360,1,rural,n
lp001520,male,yes,0,graduate,no,4860,830,125,360,1,semiurban,y
lp001528,male,no,0,graduate,no,6277,0,118,360,0,rural,n
lp001529,male,yes,0,graduate,yes,2577,3750,152,360,1,rural,y
lp001531,male,no,0,graduate,no,9166,0,244,360,1,urban,n
lp001532,male,yes,2,not graduate,no,2281,0,113,360,1,rural,n
lp001535,male,no,0,graduate,no,3254,0,50,360,1,urban,y
lp001536,male,yes,3,graduate,no,39999,0,600,180,0,semiurban,y
lp001541,male,yes,1,graduate,no,6000,0,160,360,1,rural,y
lp001543,male,yes,1,graduate,no,9538,0,187,360,1,urban,y
lp001546,male,no,0,graduate,no,2980,2083,120,360,1,rural,y
lp001552,male,yes,0,graduate,no,4583,5625,255,360,1,semiurban,y
lp001560,male,yes,0,not graduate,no,1863,1041,98,360,1,semiurban,y
lp001562,male,yes,0,graduate,no,7933,0,275,360,1,urban,n
lp001565,male,yes,1,graduate,no,3089,1280,121,360,0,semiurban,n
lp001570,male,yes,2,graduate,no,4167,1447,158,360,1,rural,y
lp001572,male,yes,0,graduate,no,9323,0,75,180,1,urban,y
lp001574,male,yes,0,graduate,no,3707,3166,182,342,1,rural,y
lp001577,female,yes,0,graduate,no,4583,0,112,360,1,rural,n
lp001578,male,yes,0,graduate,no,2439,3333,129,360,1,rural,y
lp001579,male,no,0,graduate,no,2237,0,63,480,0,semiurban,n
lp001580,male,yes,2,graduate,no,8000,0,200,360,1,semiurban,y
lp001581,male,yes,0,not graduate,no,1820,1769,95,360,1,rural,y
lp001585,male,yes,3,graduate,no,51763,0,700,300,1,urban,y
lp001586,male,yes,3,not graduate,no,3522,0,81,180,1,rural,n
lp001594,male,yes,0,graduate,no,5708,5625,187,360,1,semiurban,y
lp001603,male,yes,0,not graduate,yes,4344,736,87,360,1,semiurban,n
lp001606,male,yes,0,graduate,no,3497,1964,116,360,1,rural,y
lp001608,male,yes,2,graduate,no,2045,1619,101,360,1,rural,y
lp001610,male,yes,3,graduate,no,5516,11300,495,360,0,semiurban,n
lp001616,male,yes,1,graduate,no,3750,0,116,360,1,semiurban,y
lp001630,male,no,0,not graduate,no,2333,1451,102,480,0,urban,n
lp001633,male,yes,1,graduate,no,6400,7250,180,360,0,urban,n
lp001634,male,no,0,graduate,no,1916,5063,67,360,1,rural,n
lp001636,male,yes,0,graduate,no,4600,0,73,180,1,semiurban,y
lp001637,male,yes,1,graduate,no,33846,0,260,360,1,semiurban,n
lp001639,female,yes,0,graduate,no,3625,0,108,360,1,semiurban,y
lp001640,male,yes,0,graduate,yes,39147,4750,120,360,1,semiurban,y
lp001641,male,yes,1,graduate,yes,2178,0,66,300,0,rural,n
lp001643,male,yes,0,graduate,no,2383,2138,58,360,1,rural,y
lp001644,male,yes,0,graduate,yes,674,5296,168,360,1,rural,y
lp001647,male,yes,0,graduate,no,9328,0,188,180,1,rural,y
lp001653,male,no,0,not graduate,no,4885,0,48,360,1,rural,y
lp001656,male,no,0,graduate,no,12000,0,164,360,1,semiurban,n
lp001657,male,yes,0,not graduate,no,6033,0,160,360,1,urban,n
lp001658,male,no,0,graduate,no,3858,0,76,360,1,semiurban,y
lp001664,male,no,0,graduate,no,4191,0,120,360,1,rural,y
lp001665,male,yes,1,graduate,no,3125,2583,170,360,1,semiurban,n
lp001666,male,no,0,graduate,no,8333,3750,187,360,1,rural,y
lp001669,female,no,0,not graduate,no,1907,2365,120,342,1,urban,y
lp001671,female,yes,0,graduate,no,3416,2816,113,360,1,semiurban,y
lp001673,male,no,0,graduate,yes,11000,0,83,360,1,urban,n
lp001674,male,yes,1,not graduate,no,2600,2500,90,360,1,semiurban,y
lp001677,male,no,2,graduate,no,4923,0,166,360,0,semiurban,y
lp001682,male,yes,3,not graduate,no,3992,0,1,180,1,urban,n
lp001688,male,yes,1,not graduate,no,3500,1083,135,360,1,urban,y
lp001691,male,yes,2,not graduate,no,3917,0,124,360,1,semiurban,y
lp001692,female,no,0,not graduate,no,4408,0,120,360,1,semiurban,y
lp001693,female,no,0,graduate,no,3244,0,80,360,1,urban,y
lp001698,male,no,0,not graduate,no,3975,2531,55,360,1,rural,y
lp001699,male,no,0,graduate,no,2479,0,59,360,1,urban,y
lp001702,male,no,0,graduate,no,3418,0,127,360,1,semiurban,n
lp001708,female,no,0,graduate,no,10000,0,214,360,1,semiurban,n
lp001711,male,yes,3,graduate,no,3430,1250,128,360,0,semiurban,n
lp001713,male,yes,1,graduate,yes,7787,0,240,360,1,urban,y
lp001715,male,yes,3,not graduate,yes,5703,0,130,360,1,rural,y
lp001716,male,yes,0,graduate,no,3173,3021,137,360,1,urban,y
lp001720,male,yes,3,not graduate,no,3850,983,100,360,1,semiurban,y
lp001722,male,yes,0,graduate,no,150,1800,135,360,1,rural,n
lp001726,male,yes,0,graduate,no,3727,1775,131,360,1,semiurban,y
lp001732,male,yes,2,graduate,no,5000,0,72,360,0,semiurban,n
lp001734,female,yes,2,graduate,no,4283,2383,127,360,1,semiurban,y
lp001736,male,yes,0,graduate,no,2221,0,60,360,0,urban,n
lp001743,male,yes,2,graduate,no,4009,1717,116,360,1,semiurban,y
lp001744,male,no,0,graduate,no,2971,2791,144,360,1,semiurban,y
lp001749,male,yes,0,graduate,no,7578,1010,175,342,1,semiurban,y
lp001750,male,yes,0,graduate,no,6250,0,128,360,1,semiurban,y
lp001751,male,yes,0,graduate,no,3250,0,170,360,1,rural,n
lp001754,male,yes,0,not graduate,yes,4735,0,138,360,1,urban,n
lp001758,male,yes,2,graduate,no,6250,1695,210,360,1,semiurban,y
lp001760,male,yes,0,graduate,no,4758,0,158,480,1,semiurban,y
lp001761,male,no,0,graduate,yes,6400,0,200,360,1,rural,y
lp001765,male,yes,1,graduate,no,2491,2054,104,360,1,semiurban,y
lp001768,male,yes,0,graduate,no,3716,0,42,180,1,rural,y
lp001770,male,no,0,not graduate,no,3189,2598,120,342,1,rural,y
lp001776,female,no,0,graduate,no,8333,0,280,360,1,semiurban,y
lp001778,male,yes,1,graduate,no,3155,1779,140,360,1,semiurban,y
lp001784,male,yes,1,graduate,no,5500,1260,170,360,1,rural,y
lp001786,male,yes,0,graduate,no,5746,0,255,360,1,urban,n
lp001788,female,no,0,graduate,yes,3463,0,122,360,1,urban,y
lp001790,female,no,1,graduate,no,3812,0,112,360,1,rural,y
lp001792,male,yes,1,graduate,no,3315,0,96,360,1,semiurban,y
lp001798,male,yes,2,graduate,no,5819,5000,120,360,1,rural,y
lp001800,male,yes,1,not graduate,no,2510,1983,140,180,1,urban,n
lp001806,male,no,0,graduate,no,2965,5701,155,60,1,urban,y
lp001807,male,yes,2,graduate,yes,6250,1300,108,360,1,rural,y
lp001811,male,yes,0,not graduate,no,3406,4417,123,360,1,semiurban,y
lp001813,male,no,0,graduate,yes,6050,4333,120,180,1,urban,n
lp001814,male,yes,2,graduate,no,9703,0,112,360,1,urban,y
lp001819,male,yes,1,not graduate,no,6608,0,137,180,1,urban,y
lp001824,male,yes,1,graduate,no,2882,1843,123,480,1,semiurban,y
lp001825,male,yes,0,graduate,no,1809,1868,90,360,1,urban,y
lp001835,male,yes,0,not graduate,no,1668,3890,201,360,0,semiurban,n
lp001836,female,no,2,graduate,no,3427,0,138,360,1,urban,n
lp001841,male,no,0,not graduate,yes,2583,2167,104,360,1,rural,y
lp001843,male,yes,1,not graduate,no,2661,7101,279,180,1,semiurban,y
lp001844,male,no,0,graduate,yes,16250,0,192,360,0,urban,n
lp001846,female,no,3,graduate,no,3083,0,255,360,1,rural,y
lp001849,male,no,0,not graduate,no,6045,0,115,360,0,rural,n
lp001854,male,yes,3,graduate,no,5250,0,94,360,1,urban,n
lp001859,male,yes,0,graduate,no,14683,2100,304,360,1,rural,n
lp001864,male,yes,3,not graduate,no,4931,0,128,360,1,semiurban,n
lp001865,male,yes,1,graduate,no,6083,4250,330,360,1,urban,y
lp001868,male,no,0,graduate,no,2060,2209,134,360,1,semiurban,y
lp001870,female,no,1,graduate,no,3481,0,155,36,1,semiurban,n
lp001871,female,no,0,graduate,no,7200,0,120,360,1,rural,y
lp001872,male,no,0,graduate,yes,5166,0,128,360,1,semiurban,y
lp001875,male,no,0,graduate,no,4095,3447,151,360,1,rural,y
lp001877,male,yes,2,graduate,no,4708,1387,150,360,1,semiurban,y
lp001882,male,yes,3,graduate,no,4333,1811,160,360,0,urban,y
lp001883,female,no,0,graduate,no,3418,0,135,360,1,rural,n
lp001884,female,no,1,graduate,no,2876,1560,90,360,1,urban,y
lp001888,female,no,0,graduate,no,3237,0,30,360,1,urban,y
lp001891,male,yes,0,graduate,no,11146,0,136,360,1,urban,y
lp001892,male,no,0,graduate,no,2833,1857,126,360,1,rural,y
lp001894,male,yes,0,graduate,no,2620,2223,150,360,1,semiurban,y
lp001896,male,yes,2,graduate,no,3900,0,90,360,1,semiurban,y
lp001900,male,yes,1,graduate,no,2750,1842,115,360,1,semiurban,y
lp001903,male,yes,0,graduate,no,3993,3274,207,360,1,semiurban,y
lp001904,male,yes,0,graduate,no,3103,1300,80,360,1,urban,y
lp001907,male,yes,0,graduate,no,14583,0,436,360,1,semiurban,y
lp001908,female,yes,0,not graduate,no,4100,0,124,360,1,rural,y
lp001910,male,no,1,not graduate,yes,4053,2426,158,360,0,urban,n
lp001914,male,yes,0,graduate,no,3927,800,112,360,1,semiurban,y
lp001915,male,yes,2,graduate,no,2301,985,78,180,1,urban,y
lp001917,female,no,0,graduate,no,1811,1666,54,360,1,urban,y
lp001922,male,yes,0,graduate,no,20667,0,1,360,1,rural,n
lp001924,male,no,0,graduate,no,3158,3053,89,360,1,rural,y
lp001925,female,no,0,graduate,yes,2600,1717,99,300,1,semiurban,n
lp001926,male,yes,0,graduate,no,3704,2000,120,360,1,rural,y
lp001931,female,no,0,graduate,no,4124,0,115,360,1,semiurban,y
lp001935,male,no,0,graduate,no,9508,0,187,360,1,rural,y
lp001936,male,yes,0,graduate,no,3075,2416,139,360,1,rural,y
lp001938,male,yes,2,graduate,no,4400,0,127,360,0,semiurban,n
lp001940,male,yes,2,graduate,no,3153,1560,134,360,1,urban,y
lp001945,female,no,0,graduate,no,5417,0,143,480,0,urban,n
lp001947,male,yes,0,graduate,no,2383,3334,172,360,1,semiurban,y
lp001949,male,yes,3,graduate,no,4416,1250,110,360,1,urban,y
lp001953,male,yes,1,graduate,no,6875,0,200,360,1,semiurban,y
lp001954,female,yes,1,graduate,no,4666,0,135,360,1,urban,y
lp001955,female,no,0,graduate,no,5000,2541,151,480,1,rural,n
lp001963,male,yes,1,graduate,no,2014,2925,113,360,1,urban,n
lp001964,male,yes,0,not graduate,no,1800,2934,93,360,0,urban,n
lp001972,male,yes,0,not graduate,no,2875,1750,105,360,1,semiurban,y
lp001974,female,no,0,graduate,no,5000,0,132,360,1,rural,y
lp001977,male,yes,1,graduate,no,1625,1803,96,360,1,urban,y
lp001978,male,no,0,graduate,no,4000,2500,140,360,1,rural,y
lp001990,male,no,0,not graduate,no,2000,0,1,360,1,urban,n
lp001993,female,no,0,graduate,no,3762,1666,135,360,1,rural,y
lp001994,female,no,0,graduate,no,2400,1863,104,360,0,urban,n
lp001996,male,no,0,graduate,no,20233,0,480,360,1,rural,n
lp001998,male,yes,2,not graduate,no,7667,0,185,360,1,rural,y
lp002002,female,no,0,graduate,no,2917,0,84,360,1,semiurban,y
lp002004,male,no,0,not graduate,no,2927,2405,111,360,1,semiurban,y
lp002006,female,no,0,graduate,no,2507,0,56,360,1,rural,y
lp002008,male,yes,2,graduate,yes,5746,0,144,84,1,rural,y
lp002024,male,yes,0,graduate,no,2473,1843,159,360,1,rural,n
lp002031,male,yes,1,not graduate,no,3399,1640,111,180,1,urban,y
lp002035,male,yes,2,graduate,no,3717,0,120,360,1,semiurban,y
lp002036,male,yes,0,graduate,no,2058,2134,88,360,1,urban,y
lp002043,female,no,1,graduate,no,3541,0,112,360,1,semiurban,y
lp002050,male,yes,1,graduate,yes,10000,0,155,360,1,rural,n
lp002051,male,yes,0,graduate,no,2400,2167,115,360,1,semiurban,y
lp002053,male,yes,3,graduate,no,4342,189,124,360,1,semiurban,y
lp002054,male,yes,2,not graduate,no,3601,1590,1,360,1,rural,y
lp002055,female,no,0,graduate,no,3166,2985,132,360,1,rural,y
lp002065,male,yes,3,graduate,no,15000,0,300,360,1,rural,y
lp002067,male,yes,1,graduate,yes,8666,4983,376,360,0,rural,n
lp002068,male,no,0,graduate,no,4917,0,130,360,0,rural,y
lp002082,male,yes,0,graduate,yes,5818,2160,184,360,1,semiurban,y
lp002086,female,yes,0,graduate,no,4333,2451,110,360,1,urban,n
lp002087,female,no,0,graduate,no,2500,0,67,360,1,urban,y
lp002097,male,no,1,graduate,no,4384,1793,117,360,1,urban,y
lp002098,male,no,0,graduate,no,2935,0,98,360,1,semiurban,y
lp002100,male,no,0,graduate,no,2833,0,71,360,1,urban,y
lp002101,male,yes,0,graduate,no,63337,0,490,180,1,urban,y
lp002103,male,yes,1,graduate,yes,9833,1833,182,180,1,urban,y
lp002106,male,yes,0,graduate,yes,5503,4490,70,342,1,semiurban,y
lp002110,male,yes,1,graduate,no,5250,688,160,360,1,rural,y
lp002112,male,yes,2,graduate,yes,2500,4600,176,360,1,rural,y
lp002113,female,no,3,not graduate,no,1830,0,1,360,0,urban,n
lp002114,female,no,0,graduate,no,4160,0,71,360,1,semiurban,y
lp002115,male,yes,3,not graduate,no,2647,1587,173,360,1,rural,n
lp002116,female,no,0,graduate,no,2378,0,46,360,1,rural,n
lp002119,male,yes,1,not graduate,no,4554,1229,158,360,1,urban,y
lp002126,male,yes,3,not graduate,no,3173,0,74,360,1,semiurban,y
lp002128,male,yes,2,graduate,no,2583,2330,125,360,1,rural,y
lp002129,male,yes,0,graduate,no,2499,2458,160,360,1,semiurban,y
lp002130,male,yes,0,not graduate,no,3523,3230,152,360,0,rural,n
lp002131,male,yes,2,not graduate,no,3083,2168,126,360,1,urban,y
lp002137,male,yes,0,graduate,no,6333,4583,259,360,1,semiurban,y
lp002138,male,yes,0,graduate,no,2625,6250,187,360,1,rural,y
lp002139,male,yes,0,graduate,no,9083,0,228,360,1,semiurban,y
lp002140,male,no,0,graduate,no,8750,4167,308,360,1,rural,n
lp002141,male,yes,3,graduate,no,2666,2083,95,360,1,rural,y
lp002142,female,yes,0,graduate,yes,5500,0,105,360,0,rural,n
lp002143,female,yes,0,graduate,no,2423,505,130,360,1,semiurban,y
lp002144,female,no,0,graduate,no,3813,0,116,180,1,urban,y
lp002149,male,yes,2,graduate,no,8333,3167,165,360,1,rural,y
lp002151,male,yes,1,graduate,no,3875,0,67,360,1,urban,n
lp002158,male,yes,0,not graduate,no,3000,1666,100,480,0,urban,n
lp002160,male,yes,3,graduate,no,5167,3167,200,360,1,semiurban,y
lp002161,female,no,1,graduate,no,4723,0,81,360,1,semiurban,n
lp002170,male,yes,2,graduate,no,5000,3667,236,360,1,semiurban,y
lp002175,male,yes,0,graduate,no,4750,2333,130,360,1,urban,y
lp002178,male,yes,0,graduate,no,3013,3033,95,300,1,urban,y
lp002180,male,no,0,graduate,yes,6822,0,141,360,1,rural,y
lp002181,male,no,0,not graduate,no,6216,0,133,360,1,rural,n
lp002187,male,no,0,graduate,no,2500,0,96,480,1,semiurban,n
lp002188,male,no,0,graduate,no,5124,0,124,342,0,rural,n
lp002190,male,yes,1,graduate,no,6325,0,175,360,1,semiurban,y
lp002191,male,yes,0,graduate,no,19730,5266,570,360,1,rural,n
lp002194,female,no,0,graduate,yes,15759,0,55,360,1,semiurban,y
lp002197,male,yes,2,graduate,no,5185,0,155,360,1,semiurban,y
lp002201,male,yes,2,graduate,yes,9323,7873,380,300,1,rural,y
lp002205,male,no,1,graduate,no,3062,1987,111,180,0,urban,n
lp002209,female,no,0,graduate,no,2764,1459,110,360,1,urban,y
lp002211,male,yes,0,graduate,no,4817,923,120,180,1,urban,y
lp002219,male,yes,3,graduate,no,8750,4996,130,360,1,rural,y
lp002223,male,yes,0,graduate,no,4310,0,130,360,1,semiurban,y
lp002224,male,no,0,graduate,no,3069,0,71,480,1,urban,n
lp002225,male,yes,2,graduate,no,5391,0,130,360,1,urban,y
lp002226,male,yes,0,graduate,no,3333,2500,128,360,1,semiurban,y
lp002229,male,no,0,graduate,no,5941,4232,296,360,1,semiurban,y
lp002231,female,no,0,graduate,no,6000,0,156,360,1,urban,y
lp002234,male,no,0,graduate,yes,7167,0,128,360,1,urban,y
lp002236,male,yes,2,graduate,no,4566,0,100,360,1,urban,n
lp002237,male,no,1,graduate,no,3667,0,113,180,1,urban,y
lp002239,male,no,0,not graduate,no,2346,1600,132,360,1,semiurban,y
lp002243,male,yes,0,not graduate,no,3010,3136,1,360,0,urban,n
lp002244,male,yes,0,graduate,no,2333,2417,136,360,1,urban,y
lp002250,male,yes,0,graduate,no,5488,0,125,360,1,rural,y
lp002255,male,no,3,graduate,no,9167,0,185,360,1,rural,y
lp002262,male,yes,3,graduate,no,9504,0,275,360,1,rural,y
